Country_Name,Deaths,Confirmed
US,93,5073
US,36,4140
US,94,6611
US,55,5445
US,244,19530
US,1693,216951
US,275,28971
US,901,100711
US,121,12654
US,120,8751
US,1284,124359
US,270,26876
US,28,2985
US,82,3701
US,204,17386
US,63,2984
US,74,4926
US,182,14090
US,435,41291
US,101,8155
US,146,10719
US,41,3098
US,165,9069
US,164,13654
US,150,16256
US,155,8582
US,503,30191
US,179,15090
US,794,61477
US,163,8378
US,331,24235
US,111,6424
US,69,5205
US,115,5774
US,160,14364
US,392,21036
US,153,9107
US,723,96944
US,301,25238
US,166,13373
US,614,47804
US,258,16226
US,489,30065
US,175,14368
US,144,15182
US,163,11067
US,87,5904
US,180,11231
US,119,8172
US,661,51015
US,167,14246
US,256,22957
US,106,6543
US,405,31801
US,2008,134438
US,285,14516
US,701,39768
US,3238,268696
US,217,14072
US,30,2619
US,175,10908
US,325,34476
US,174,12319
US,305,19602
US,74,3119
US,177,15737
US,19,1769
US,106,5941
US,137,6907
US,52,4345
US,73,5883
US,55,4497
US,627,47697
US,63,7909
US,92,3538
US,138,11196
US,163,7013
US,150,10091
US,61,6084
US,115,9473
US,191,17143
US,64,6156
US,967,84866
US,112,5626
US,126,11487
US,86,6403
US,22,2663
US,463,60936
US,94,3996
US,274,0
US,23,2347
US,691,70796
US,82,4932
US,453,35132
US,172,10451
US,30,2380
US,262,24854
US,95,7179
US,363,23519
US,144,7610
US,102,8268
US,91,11448
US,52,1805
US,15,938
US,68,3248
US,80,3432
US,25,1311
US,82,7244
US,528,38980
US,70,6535
US,89,6386
US,67,5539
US,66,6988
US,62,3817
US,26,3072
US,84,5680
US,88,3333
US,49,5035
US,181,12769
US,75,3581
US,37,3163
US,43,2701
US,54,4843
US,81,4033
US,173,13865
US,59,5064
US,160,26870
US,35,1825
US,29,1847
US,71,4777
US,165,11291
US,78,4742
US,330,31008
US,56,2698
US,88,4959
US,69,4184
US,50,2960
US,29,1641
US,28,2051
US,50,3055
US,48,2773
US,90,3998
US,51,3287
US,71,5070
US,101,3846
US,84,6516
US,37,2312
US,44,3073
US,51,2148
US,54,4332
US,75,5537
US,124,10453
US,63,4424
US,183,44987
US,84,6467
US,55,2479
US,98,4362
US,149,9232
US,668,64756
US,68,2949
US,34,2186
US,55,3164
US,46,3704
US,95,5800
US,136,8910
US,136,11469
US,47,4004
US,51,2839
US,53,2091
US,52,2200
US,60,2596
US,139,11265
US,73,3887
US,23,1575
US,56,3845
US,41,2416
US,114,7174
US,31,1942
US,1230,147524
US,354,27969
US,65,4672
US,42,1318
US,43,2888
US,449,49015
US,59,3178
US,99,8987
US,104,23335
US,101,4671
US,25,1535
US,0,0
US,56,3186
US,28,1699
US,222,10439
US,157,14506
US,89,6822
US,35,1520
US,186,12112
US,48,3466
US,56,4503
US,357,33209
US,17,2048
US,71,4051
US,65,5127
US,38,2585
US,45,5063
US,13,1234
US,124,7689
US,64,5619
US,51,3159
US,238,22573
US,10,798
US,22,1000
US,99,7447
US,16,733
US,8,609
US,49,2452
US,50,2672
US,48,2833
US,18,548
US,176,12437
US,148,15195
US,22,790
US,107,5906
US,39,2850
US,176,34368
US,16,679
US,13,699
US,92,8442
US,34,2461
US,128,13435
US,123,12512
US,104,8235
US,90,11418
US,24,967
US,20,757
US,40,2800
US,25,1429
US,6,391
US,26,2222
US,6,553
US,29,1920
US,137,11960
US,15,1137
US,13,509
US,40,4640
US,71,5764
US,17,954
US,1377,178296
US,22,1381
US,30,2341
US,8,775
US,89,7991
US,12,370
US,211,24249
US,12,740
US,36,3490
US,16,1021
US,136,12076
US,56,4032
US,51,2962
US,142,9609
US,27,1439
US,107,9651
US,26,1759
US,181,10986
US,33,1769
US,12,742
US,67,3796
US,80,6105
